Subject	Sex	Species	Age	Date	Day	Session	trial_number	Condition	P1_baited	P2_baited	Choice_P1	Correct_P1	Choice_P2	Correct_P2	count_mistakes	Comment
Cheetah	f	old chimps	31	14/10/2018		1	3	test	1	4	4	0	3	0	2	
Cheetah	f	old chimps	31	14/10/2018		1	4	test	2	1	2	1	3	0	1	
Cheetah	f	old chimps	31	14/10/2018		1	5	test	4	2	2	0	2	1	1	saw apple on platform 2
Cheetah	f	old chimps	31	14/10/2018		1	6	test	1	1	2	0	2	0	2	
Cheetah	f	old chimps	31	14/10/2018		1	7	test	3	4	3	1	4	0	1	saw apple on platform 1
Cheetah	f	old chimps	31	14/10/2018		1	8	test	2	3	2	1	3	1	0	
Alikaka	m	old chimps	16	14/10/2018		1	1	warm-up	2		1	0				
Alikaka	m	old chimps	16	14/10/2018		1	2	warm-up	4		4	1				
Alikaka	m	old chimps	16	14/10/2018		1	1	test	3	2	3	1	3	0	1	
Alikaka	m	old chimps	16	14/10/2018		1	2	test	4	3	3	0	2	0	2	
Alikaka	m	old chimps	16	14/10/2018		1	3	test	1	4	3	0	3	0	2	
Alikaka	m	old chimps	16	14/10/2018		1	4	test	2	1	2	1	3	0	1	
Alikaka	m	old chimps	16	14/10/2018		1	5	test	4	2	4	1	1	0	1	
Alikaka	m	old chimps	16	14/10/2018		1	6	test	1	1	4	0	2	0	2	4 on platform 1 had apple
