Subject	Sex	Group	Age	Date	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	comment
Julia	f	old chimps	18	14/12/2018	one_platform	3	3	0	2	3	3	0	3	0	
Julia	f	old chimps	18	14/12/2018	one_platform	3	4	0	1	3	3	0	2	1	
Julia	f	old chimps	18	14/12/2018	one_platform	3	5	0	2	3	3	0	3	0	
Julia	f	old chimps	18	14/12/2018	one_platform	3	6	0	1	3	1	1	1	0	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	1	1	0	1	2	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	2	1	0	1	2	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	3	1	0	1	2	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	4	1	0	1	2	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	5	1	0	2	1	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	2	6	1	0	2	1	1			
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	2	1	0	3	2	1	1	1	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	3	1	0	3	2	1	1	1	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	4	0	1	1	2	1	2	0	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	5	0	1	1	3	1	3	0	
Niyonkuru	m	young chimps	28	05/12/2018	one_platform	3	6	1	0	3	1	1	2	1	
Kisa	m	young chimps	25	06/12/2018	one_platform	2	1	0	1	2	2	0			
Kisa	m	young chimps	25	06/12/2018	one_platform	2	2	1	0	2	1	1			
Kisa	m	young chimps	25	06/12/2018	one_platform	2	3	1	0	2	1	1			
Kisa	m	young chimps	25	06/12/2018	one_platform	2	4	1	0	2	1	1			
Kisa	m	young chimps	25	06/12/2018	one_platform	2	5	1	0	2	1	1			
Kisa	m	young chimps	25	06/12/2018	one_platform	2	6	1	0	2	1	1			
Kisa	m	young chimps	25	06/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Kisa	m	young chimps	25	06/12/2018	one_platform	3	2	0	1	2	3	1	2	0	
Kisa	m	young chimps	25	06/12/2018	one_platform	3	3	0	1	3	2	1	2	0	
Kisa	m	young chimps	25	06/12/2018	one_platform	3	4	1	0	3	2	1	1	1	
Kisa	m	young chimps	25	06/12/2018	one_platform	3	5	1	0	3	2	1	1	1	
Kisa	m	young chimps	25	06/12/2018	one_platform	3	6	1	0	3	2	1	1	1	
Akela	f	young chimps	30	06/12/2018	one_platform	2	1	1	0	2	1	1			
Akela	f	young chimps	30	06/12/2018	one_platform	2	2	1	0	1	2	1			
Akela	f	young chimps	30	06/12/2018	one_platform	2	3	0	1	2	2	0			
Akela	f	young chimps	30	06/12/2018	one_platform	2	4	1	0	2	1	1			
Akela	f	young chimps	30	06/12/2018	one_platform	2	5	1	0	1	2	1			
Akela	f	young chimps	30	06/12/2018	one_platform	2	6	1	0	1	2	1			
Akela	f	young chimps	30	06/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Akela	f	young chimps	30	06/12/2018	one_platform	3	2	1	0	1	2	1	3	1	
Akela	f	young chimps	30	06/12/2018	one_platform	3	3	0	1	2	3	1	2	0	
Akela	f	young chimps	30	06/12/2018	one_platform	3	4	0	1	2	1	1	2	0	
Akela	f	young chimps	30	06/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Akela	f	young chimps	30	06/12/2018	one_platform	3	6	1	0	3	2	1	1	1	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	1	1	0	2	1	1			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	2	0	1	2	2	0			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	3	1	0	1	2	1			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	4	1	0	1	2	1			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	5	1	0	1	2	1			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	2	6	0	1	2	2	0			
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	1	0	2	2	2	0	2	0	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	2	1	0	3	1	1	2	1	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	3	0	1	3	1	1	1	0	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	4	0	1	2	1	1	2	0	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	5	0	1	1	2	1	1	0	
Dufatanya	f	young chimps	27	05/12/2018	one_platform	3	6	1	0	2	1	1	3	1	
Bahati	f	young chimps	25	05/12/2018	one_platform	2	1	1	0	2	1	1			
Bahati	f	young chimps	25	05/12/2018	one_platform	2	2	1	0	2	1	1			
Bahati	f	young chimps	25	05/12/2018	one_platform	2	3	1	0	1	2	1			
Bahati	f	young chimps	25	05/12/2018	one_platform	2	4	0	1	1	1	0			
Bahati	f	young chimps	25	05/12/2018	one_platform	2	5	1	0	1	2	1			
Bahati	f	young chimps	25	05/12/2018	one_platform	2	6	1	0	1	2	1			
Bahati	f	young chimps	25	05/12/2018	one_platform	3	1	0	1	1	2	1	2	0	
Bahati	f	young chimps	25	05/12/2018	one_platform	3	2	1	0	1	2	1	3	1	
Bahati	f	young chimps	25	05/12/2018	one_platform	3	3	0	1	1	2	1	1	0	
Bahati	f	young chimps	25	05/12/2018	one_platform	3	4	0	1	1	1	0	2	1	
Bahati	f	young chimps	25	05/12/2018	one_platform	3	5	0	1	1	2	1	2	0	
Bahati	f	young chimps	25	05/12/2018	one_platform	3	6	0	1	1	2	1	2	0	
Joy	f	young chimps	14	05/12/2018	one_platform	2	1	1	0	2	1	1			
Joy	f	young chimps	14	05/12/2018	one_platform	2	2	0	1	1	1	0			
Joy	f	young chimps	14	05/12/2018	one_platform	2	3	1	0	2	1	1			
Joy	f	young chimps	14	05/12/2018	one_platform	2	4	1	0	1	2	1			
Joy	f	young chimps	14	05/12/2018	one_platform	2	5	1	0	1	2	1			
Joy	f	young chimps	14	05/12/2018	one_platform	2	6	1	0	2	1	1			
Joy	f	young chimps	14	05/12/2018	one_platform	3	1	0	1	1	3	1	3	0	
Joy	f	young chimps	14	05/12/2018	one_platform	3	2	0	1	1	2	1	2	0	
Joy	f	young chimps	14	05/12/2018	one_platform	3	3	1	0	1	2	1	3	1	
Joy	f	young chimps	14	05/12/2018	one_platform	3	4	1	0	1	2	1	3	1	
Joy	f	young chimps	14	05/12/2018	one_platform	3	5	1	0	3	2	1	1	1	
